TimeElapsed,AliveBacteria,TotalBacteria,NetCO2,TotalNutrient,TotalAcetate,Normal,Type++,Type+-,Type-+,Type--
1,1561,1561,20000,-2147483648,5000,1561,0,0,0,0
2,1775,1775,51220,-2147483648,12805,1745,0,0,0,0
3,1982,2012,86120,-2147483648,21530,1308,0,0,0,0
4,1505,2209,112280,-2147483648,28071,699,0,0,0,0
5,794,2304,126260,-2147483648,31567,276,0,0,0,0
6,314,2342,131780,-2147483648,32948,133,0,0,0,0
7,152,2361,134440,-2147483648,33614,62,0,0,0,0
8,66,2365,135680,-2147483648,33925,24,0,0,0,0
9,30,2371,136160,-2147483648,34047,18,0,0,0,0
10,21,2374,136520,-2147483648,34138,11,0,0,0,0
11,13,2376,136740,-2147483648,34193,4,0,0,0,0
12,4,2376,136820,-2147483648,34214,0,0,0,0,0
13,0,2376,136820,-2147483648,34215,0,0,0,0,0
